Sorterings ID	Data type	Navn DE/ENG	Navn DK	UUID	Global Opvarmning, modul A1-A3	Global Opvarmning, modul C3	Global Opvarmning, modul C4	Global Opvarmning, modul D	Deklareret faktor (FU)	Deklareret enhed (FU)	Masse faktor	Masse enhed	Url (link)	Kommentar	RVT2024
#B1469	Branche data	-	Fabriksbeton C45/55	46b603ab-84e0-46dc-86a0-afa84bf24253	426	6,75	4,99	-4,62	1	M3	2229	kg/m³	https://www.epddanmark.dk/media/oz1jfz20/md-20014-da_rev1-dansk-beton-fabriksbetonforeningen.pdf		
#G0245	Generisk data	Fassadenklinker	Facadeklinker	8e483645-aeb2-57ae-9b0d-5bd7ac85006e	532,861846	13,53184923	0	-3,149239258	1	M3	2000	kg/m³	https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/5dddc87c-6b72-4801-b822-4301138c99ce?version=20.23.050		143
#D1514	Dansk generisk data	-	Fibercementplade	99bbbb92-f3ab-5c9e-ab05-7582403446bc	12,87	0	0,2486	0	1	M2	14,4	kg/m²	https://vbn.aau.dk/da/publications/udvikling-af-dansk-generisk-lca-data?		1
#G0490	Generisk data	Pe/pp vlies	Fiberdug, PE / PP	bdb8f04e-36f4-5941-a0fb-a56747b01108	1,21733972	1,883071822	0	-0,654487166	1	M2	0,5	kg/m²	https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/e80981a3-c7c4-4267-b669-0f31cfa61f06?version=20.23.050		
#D1603	Dansk generisk data	-	Fjernvarmeanlæg	7e2dcc42-4bed-547e-bb98-582f220411e0	4,65533836	0,239620707	0,035435939	-0,501595214	1	kg	23,2	kg/stk.	https://vbn.aau.dk/da/publications/udvikling-af-dansk-generisk-lca-data?		
#G0199	Generisk data	Übergabestation fernwärme	Fjernvarmeanlæg	7e2dcc42-4bed-547e-bb98-582f220411e0	4,542353147	0,188624427	0,0119832	-1,021358591	1	kg	1	kg/kg	https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/89956dbd-9cd4-4698-8e06-e7292f543246?version=20.23.050		
#G1131	Generisk data	Folie für gründach	Folie til grønt tag	88aac703-b1c5-554c-b2d8-bae4954480bf	3,437836229	3,751622534	0	-0,771501036	1	M2	1,13	kg/m²	https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/4c569188-c899-44da-8843-523c2c741efe?version=20.23.050		
#G0519	Generisk data	Pe-hd mit pp-vlies zur abdichtung	Folie, PE-HD med PP-fiberdug	d1f0ffc9-3e7d-5e75-84c6-8538b7d5506d	3,137312265	4,839732466	0	-1,682107246	1	M2	1,3	kg/m²	https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/2173d540-fc7c-4b77-af4f-9a53cdbfb834?version=20.23.050		
#D1586	Dansk generisk data	-	Fugemasse, Silikone	1bcc6bf1-618a-5846-8bb5-447c366896fd	5,896	0,4719	0	-0,5607	1	kg	1,5	g/cm³	https://vbn.aau.dk/da/publications/udvikling-af-dansk-generisk-lca-data?		
#G1163	Generisk data	Pe-noppenfolie zur abdichtung	Fugtisolering, grundmursplade, PE	ab4e716e-907b-5628-a2ae-27658399ce44	4,117406158	4,142779499	0	-1,712121283	1	M2	1,2	kg/m²	https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/0dbca1ff-d043-408f-9511-6aeddf8e5f70?version=20.23.050		
#G0253	Generisk data	Gaswärmepumpe (luft) 20-70 kw	Gas varmepumpe (luft) 20-70 kW	39dd3ef0-bd6d-5716-956c-9188e93a116d	344,784068	10,26723513	7,529551002	-171,2988791	1	stk	157	kg/stk.	https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/ae06899a-fd3f-4ea6-9922-139dfd0e6ba9?version=20.23.050		
#G0257	Generisk data	Gas-niedertemperaturgerät 120-400 kw (standgerät)	Gaskedel, kondenserende, 120-400 kW	1f75a72d-b473-5fe1-aa06-589dba893d35	2643,13589	66,8947526	3,265164797	-417,1144182	1	stk	937	kg/stk.	https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/f9043619-1d1a-4af1-a42d-8bff43c7cd9c?version=20.23.050		
#G0868	Generisk data	Gas-niedertemperaturgerät 20-120 kw (standgerät)	Gaskedel, kondenserende, 20-120 kW	312f7995-ff8f-5f78-8705-a55a2f2af0a0	1025,259261	21,20094664	2,206033915	-129,5442283	1	stk	292	kg/stk.	https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/d75af170-2269-426a-b72a-1d78f5c4091d?version=20.23.050		
#G0138	Generisk data	Gips (caso4-beta-halbhydrat)	Gips, beta-halvhydrat	22ab1e14-8f5e-53ab-b486-2aac8d322ab7	0,100682742	0	0,016092732	0	1	kg	1	kg/kg	https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/6d6d0d3f-79a3-461b-8a8c-fa4a78875da0?version=20.23.050		
#G1119	Generisk data	"Trockenestrich (gipsfaserplatte; 25 mm)"	Gips, tørstof (gipsfiberplade) (tykkelse 0,025 m)	25941cb9-1110-50a3-a3c3-05f9f5e62014	7,343952236	0	0,387834832	0	1	M2	24,07	kg/m²	https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/3ef401d0-e1fc-4ff3-bf94-a3ee6a460fdf?version=20.23.050		
